,latitude,longitude
831,1.29454,103.83076
832,1.43623,103.831
833,1.248,103.83111
834,1.30365,103.83117
835,1.28103,103.83121
836,1.27778,103.83152
837,1.29214,103.8318
838,1.3061,103.832
839,1.29953,103.83218
840,1.27241,103.83238
841,1.30936,103.83261
842,1.36428,103.83263
843,1.2821,103.8328
844,1.3066,103.83283
845,1.2859,103.83291
846,1.45394,103.83301
847,1.30671,103.8331
848,1.28573,103.83328
849,1.30385,103.83337
850,1.30878,103.8334
851,1.31852,103.83345
852,1.30375,103.83348
853,1.42545,103.8335
854,1.2872,103.83351
855,1.2899,103.83359
856,1.28765,103.8336
857,1.35402,103.8336
858,1.30914,103.83364
859,1.30878,103.8337
860,1.42059,103.83377
861,1.28563,103.8338
862,1.27968,103.83391
863,1.30241,103.834
864,1.28039,103.83413
865,1.27258,103.83415
866,1.2824,103.8342
867,1.41777,103.83439
868,1.29596,103.83471
869,1.42293,103.83471
870,1.28099,103.83487
871,1.28098,103.83488
872,1.27867,103.83516
873,1.27915,103.8353
874,1.30045,103.8353
875,1.28914,103.8354
876,1.41883,103.83545
877,1.30029,103.83546
878,1.30293,103.83548
879,1.43081,103.83548
880,1.28122,103.8355
881,1.27641,103.8356
882,1.30786,103.8356
883,1.38052,103.8357
884,1.3172,103.83572
885,1.37896,103.8358
886,1.27899,103.83585
887,1.3052,103.83587
888,1.27934,103.83599
889,1.34199,103.83603
890,1.28826,103.8361
891,1.421974,103.8361
892,1.28286,103.83614
893,1.44344,103.83615
894,1.28829,103.83618
895,1.3574,103.83637
896,1.27441,103.8364
897,1.30799,103.83645
898,1.31122,103.8365
899,1.27795,103.83653
900,1.30352,103.83655
901,1.4361,103.83667
902,1.4233,103.8368
903,1.43713,103.8368
904,1.36001,103.83691
905,1.27731,103.83697
906,1.3726,103.83702
907,1.43502,103.83703
908,1.27634,103.83707
909,1.37323,103.83709
910,1.27767,103.83722
911,1.36033,103.83727
912,1.35994,103.83731
913,1.27734,103.8374
914,1.33854,103.83746
915,1.28196,103.83756
916,1.35947,103.83764
917,1.29805,103.83766
918,1.30217,103.83767
919,1.30294,103.83774
920,1.30282,103.83789
921,1.27227,103.83791
922,1.44031,103.83794
923,1.38288,103.8381
924,1.42712,103.83812
925,1.30698,103.83814
926,1.34177,103.83825
927,1.34301,103.83825
928,1.28853,103.8384
929,1.37029,103.8384
930,1.42349,103.8384
